t,u,v,w,T
14.7000000000001,3.602,0.651,-0.496,14.886
14.7500000000001,3.614,0.694,-0.486,14.877
14.8000000000001,3.68,0.712,-0.232,14.811
14.8500000000001,3.444,0.55,-0.37,14.805
14.9000000000001,3.382,0.786,-0.38,14.828
14.9500000000001,3.536,0.59,-0.365,14.798
15.0000000000001,3.756,0.647,-0.138,14.745
15.0500000000001,3.823,0.382,-0.191,14.708
15.1000000000001,3.727,0.241,-0.317,14.639
15.1500000000001,3.918,0.615,0.066,14.728
15.2000000000001,3.949,0.234,-0.132,14.767
15.2500000000001,3.932,0.162,-0.154,14.769
15.3000000000001,3.981,0.13,-0.108,14.754
15.3500000000001,3.969,0.223,0.046,14.639
15.4000000000001,3.764,0.278,0.146,14.688
15.4500000000001,3.607,0.384,0.094,14.708
15.5000000000001,3.536,0.237,-0.114,14.773
15.5500000000001,3.342,0.659,-0.45,14.793
15.6000000000001,3.284,0.883,-0.607,14.778
15.6500000000001,3.445,0.586,-0.815,14.82
15.7000000000001,3.435,0.499,-0.677,14.805
15.7500000000001,3.617,0.647,-0.703,14.847
15.8000000000001,3.662,0.529,-0.656,14.927
15.8500000000001,3.549,0.798,-0.577,14.793
15.9000000000001,3.674,0.79,-0.481,15.003
15.9500000000001,3.534,0.715,-0.442,15.049
16.0000000000001,3.419,0.59,-0.466,14.962
16.0500000000001,3.542,0.316,-0.437,14.839
16.1000000000001,3.418,0.268,-0.421,14.864
16.1500000000001,3.49,0.31,-0.463,14.822
16.2000000000001,3.578,0.324,-0.541,14.822
16.2500000000001,3.649,0.498,-0.517,14.795
16.3000000000001,3.596,0.42,-0.173,14.806
16.3500000000001,3.319,0.794,0.019,14.815
16.4000000000001,3.395,0.435,-0.23,14.761
16.4500000000001,3.432,0.574,0.205,14.767
16.5000000000001,3.54,0.812,0.377,14.745
16.5500000000001,3.7,1.104,0.313,14.778
16.6000000000001,3.933,0.475,0.108,14.749
16.6500000000001,3.703,0.372,0.181,14.754
16.7000000000001,3.477,0.75,0.405,14.749
16.7500000000001,3.42,0.794,0.31,14.688
16.8000000000001,3.074,0.128,0.259,14.762
16.8500000000001,3.24,0.066,0.236,14.756
16.9000000000001,3.176,0.343,0.351,14.771
16.9500000000001,3.351,0.585,0.263,14.745
17.0000000000001,3.22,0.349,0.59,14.734
17.0500000000001,3.035,0.398,0.41,14.737
17.1000000000001,3.005,0.401,0.294,14.759
17.1500000000001,2.813,0.542,0.322,14.718
17.2000000000001,2.895,0.217,0.112,14.706
17.2500000000001,3.19,0.339,0.124,14.691
17.3000000000001,2.947,0.512,0.23,14.668
17.3500000000001,3.028,0.707,0.17,14.686
17.4000000000001,3.111,0.619,0.161,14.708
17.4500000000001,3.045,0.564,-0.221,14.759
17.5000000000001,3.072,0.575,-0.063,14.737
17.5500000000001,3.226,0.566,0.006,14.71
17.6000000000001,3.161,0.6,-0.031,14.678
17.6500000000001,3.245,0.551,-0.075,14.64
17.7000000000001,3.486,0.567,0.041,14.717
17.7500000000001,3.545,0.853,-0.14,14.908
17.8000000000001,3.399,0.998,-0.236,14.818
17.8500000000001,3.292,0.586,-0.383,14.722
17.9000000000001,3.21,0.532,-0.275,14.766
17.9500000000001,3.164,0.617,-0.273,14.757
18.0000000000001,3.092,0.59,-0.238,14.722
18.0500000000001,3.269,0.582,-0.104,14.712
18.1000000000001,3.075,0.525,-0.259,14.783
18.1500000000001,2.951,0.569,-0.269,14.871
18.2000000000001,3.066,0.511,-0.347,14.855
18.2500000000001,2.917,0.465,-0.337,14.817
18.3000000000001,2.898,0.409,-0.292,14.773
18.3500000000001,2.895,0.305,-0.246,14.759
18.4000000000001,3.066,0.149,-0.161,14.732
18.4500000000001,2.994,0.192,-0.089,14.703
18.5000000000001,2.951,0.149,-0.251,14.703
18.5500000000001,2.983,0.063,-0.228,14.676
18.6000000000001,2.914,-0.012,-0.083,14.649
18.6500000000001,3.008,0.096,-0.079,14.739
18.7000000000001,3.045,0.185,-0.033,14.717
18.7500000000001,3.22,0.109,0.015,14.63
18.8000000000001,3.24,0.02,0.008,14.637
18.8500000000001,3.156,0.083,0.008,14.657
18.9000000000001,3.139,-0.007,0.032,14.683
18.9500000000001,3.168,-0.036,0.079,14.654
19.0000000000001,3.243,0.137,0.08,14.613
19.0500000000001,3.002,0.301,0.053,14.649
19.1000000000001,3.122,0.27,0.063,14.705
19.1500000000001,3.048,0.221,0.164,14.684
19.2000000000001,2.98,0.321,0.162,14.747
19.2500000000001,3.061,0.213,0.058,14.701
19.3000000000001,3.258,0.343,0.206,14.573
19.3500000000001,3.217,0.127,0.279,14.542
19.4000000000001,3.211,0.123,0.22,14.549
19.4500000000001,3.325,0.112,0.255,14.544
19.5000000000001,3.434,0.087,0.321,14.464
19.5500000000001,3.32,-0.009,0.382,14.326
19.6000000000001,3.372,0.069,0.455,14.322
19.6500000000001,3.21,0.219,0.373,14.331
19.7000000000001,3.159,0.073,0.345,14.305
19.7500000000001,3.059,-0.019,0.331,14.385
19.8000000000001,2.791,0.118,0.257,14.475
19.8500000000001,2.85,0.033,-0.027,14.42
19.9000000000001,2.898,-0.052,0.049,14.466
19.9500000000002,2.846,-0.125,0.03,14.568
20.0000000000002,2.816,-0.097,0.061,14.564
20.0500000000002,2.891,-0.128,0.15,14.541
20.1000000000002,2.972,-0.113,0.266,14.514
20.1500000000002,2.886,-0.026,0.245,14.58
20.2000000000002,2.877,-0.068,0.177,14.605
20.2500000000002,2.998,-0.014,0.091,14.547
20.3000000000002,3.018,0.026,0.016,14.581
20.3500000000002,2.937,0.137,-0.033,14.578
20.4000000000002,3.122,0.244,-0.054,14.617
20.4500000000002,3.148,0.428,-0.034,14.588
20.5000000000002,3.185,0.509,0.132,14.571
20.5500000000002,3.164,0.389,-0.016,14.58
20.6000000000002,3.215,0.377,-0.061,14.508
20.6500000000002,3.218,0.375,-0.038,14.402
20.7000000000002,3.181,0.193,0.052,14.283
20.7500000000002,3.109,0.049,-0.112,14.415
20.8000000000002,3.149,0.03,-0.115,14.366
20.8500000000002,3.189,0.03,-0.114,14.336
20.9000000000002,3.308,0.047,0.014,14.334
20.9500000000002,3.136,0,0.145,14.311
21.0000000000002,3.065,0.094,0.162,14.275
21.0500000000002,3.037,0.073,0.216,14.277
21.1000000000002,2.97,0.038,-0.007,14.353
21.1500000000002,2.941,-0.109,-0.181,14.368
21.2000000000002,3.075,-0.247,-0.155,14.339
21.2500000000002,3.015,-0.278,-0.097,14.354
21.3000000000002,3.04,-0.389,-0.018,14.334
